Age_group,Region,Year,Deaths
Under 1 year,Australian Capital Territory,2014,14
Under 1 year,Australian Capital Territory,2015,19
Under 1 year,Australian Capital Territory,2016,23
Under 1 year,Australian Capital Territory,2017,16
Under 1 year,Australian Capital Territory,2018,17
Under 1 year,Australian Capital Territory,2019,7
Under 1 year,Australian Capital Territory,2020,14
Under 1 year,Australian Capital Territory,2021,19
Under 1 year,Australian Capital Territory,2022,19
Under 1 year,Australian Capital Territory,2023,31
1-14 years,Australian Capital Territory,2014,5
1-14 years,Australian Capital Territory,2015,7
1-14 years,Australian Capital Territory,2016,6
1-14 years,Australian Capital Territory,2017,8
1-14 years,Australian Capital Territory,2018,13
1-14 years,Australian Capital Territory,2019,5
1-14 years,Australian Capital Territory,2020,2
1-14 years,Australian Capital Territory,2021,2
1-14 years,Australian Capital Territory,2022,10
1-14 years,Australian Capital Territory,2023,5
15-24 years,Australian Capital Territory,2014,15
15-24 years,Australian Capital Territory,2015,16
15-24 years,Australian Capital Territory,2016,13
15-24 years,Australian Capital Territory,2017,24
15-24 years,Australian Capital Territory,2018,21
15-24 years,Australian Capital Territory,2019,22
15-24 years,Australian Capital Territory,2020,18
15-24 years,Australian Capital Territory,2021,19
15-24 years,Australian Capital Territory,2022,29
15-24 years,Australian Capital Territory,2023,14
25-34 years,Australian Capital Territory,2014,32
25-34 years,Australian Capital Territory,2015,19
25-34 years,Australian Capital Territory,2016,24
25-34 years,Australian Capital Territory,2017,24
25-34 years,Australian Capital Territory,2018,27
25-34 years,Australian Capital Territory,2019,28
25-34 years,Australian Capital Territory,2020,33
25-34 years,Australian Capital Territory,2021,33
25-34 years,Australian Capital Territory,2022,27
25-34 years,Australian Capital Territory,2023,38
35-44 years,Australian Capital Territory,2014,54
35-44 years,Australian Capital Territory,2015,46
35-44 years,Australian Capital Territory,2016,58
35-44 years,Australian Capital Territory,2017,60
35-44 years,Australian Capital Territory,2018,51
35-44 years,Australian Capital Territory,2019,61
35-44 years,Australian Capital Territory,2020,66
35-44 years,Australian Capital Territory,2021,57
35-44 years,Australian Capital Territory,2022,71
35-44 years,Australian Capital Territory,2023,48
45-54 years,Australian Capital Territory,2014,84
45-54 years,Australian Capital Territory,2015,87
45-54 years,Australian Capital Territory,2016,106
45-54 years,Australian Capital Territory,2017,87
45-54 years,Australian Capital Territory,2018,104
45-54 years,Australian Capital Territory,2019,84
45-54 years,Australian Capital Territory,2020,97
45-54 years,Australian Capital Territory,2021,99
45-54 years,Australian Capital Territory,2022,103
45-54 years,Australian Capital Territory,2023,113
55-64 years,Australian Capital Territory,2014,184
55-64 years,Australian Capital Territory,2015,197
55-64 years,Australian Capital Territory,2016,170
55-64 years,Australian Capital Territory,2017,183
55-64 years,Australian Capital Territory,2018,200
55-64 years,Australian Capital Territory,2019,188
55-64 years,Australian Capital Territory,2020,155
55-64 years,Australian Capital Territory,2021,189
55-64 years,Australian Capital Territory,2022,200
55-64 years,Australian Capital Territory,2023,187
65-74 years,Australian Capital Territory,2014,274
65-74 years,Australian Capital Territory,2015,283
65-74 years,Australian Capital Territory,2016,309
65-74 years,Australian Capital Territory,2017,304
65-74 years,Australian Capital Territory,2018,294
65-74 years,Australian Capital Territory,2019,274
65-74 years,Australian Capital Territory,2020,368
65-74 years,Australian Capital Territory,2021,314
