Sex,Age,Region,Frequency,TIME_PERIOD,OVALUE
Males,0-4,Australia,Quarterly,2014-Q1,789708
Males,0-4,Australia,Quarterly,2014-Q2,791208
Males,0-4,Australia,Quarterly,2014-Q3,793913
Males,0-4,Australia,Quarterly,2014-Q4,795351
Males,0-4,Australia,Quarterly,2015-Q1,796853
Males,0-4,Australia,Quarterly,2015-Q2,797038
Males,0-4,Australia,Quarterly,2015-Q3,800277
Males,0-4,Australia,Quarterly,2015-Q4,801844
Males,0-4,Australia,Quarterly,2016-Q1,805241
Males,0-4,Australia,Quarterly,2016-Q2,807893
Males,0-4,Australia,Quarterly,2016-Q3,809294
Males,0-4,Australia,Quarterly,2016-Q4,809216
Males,0-4,Australia,Quarterly,2017-Q1,809418
Males,0-4,Australia,Quarterly,2017-Q2,809010
Males,0-4,Australia,Quarterly,2017-Q3,808485
Males,0-4,Australia,Quarterly,2017-Q4,806369
Males,0-4,Australia,Quarterly,2018-Q1,805468
Males,0-4,Australia,Quarterly,2018-Q2,803776
Males,0-4,Australia,Quarterly,2018-Q3,803021
Males,0-4,Australia,Quarterly,2018-Q4,801426
Males,0-4,Australia,Quarterly,2019-Q1,800717
Males,0-4,Australia,Quarterly,2019-Q2,799652
Males,0-4,Australia,Quarterly,2019-Q3,798818
Males,0-4,Australia,Quarterly,2019-Q4,796010
Males,0-4,Australia,Quarterly,2020-Q1,793698
Males,0-4,Australia,Quarterly,2020-Q2,789571
Males,0-4,Australia,Quarterly,2020-Q3,784030
Males,0-4,Australia,Quarterly,2020-Q4,777994
Males,0-4,Australia,Quarterly,2021-Q1,777217
Males,0-4,Australia,Quarterly,2021-Q2,775899
Males,0-4,Australia,Quarterly,2021-Q3,776245
Males,0-4,Australia,Quarterly,2021-Q4,776622
Males,0-4,Australia,Quarterly,2022-Q1,777379
Males,0-4,Australia,Quarterly,2022-Q2,777428
Males,0-4,Australia,Quarterly,2022-Q3,778187
Males,0-4,Australia,Quarterly,2022-Q4,778119
Males,0-4,Australia,Quarterly,2023-Q1,777343
Males,0-4,Australia,Quarterly,2023-Q2,777002
Males,0-4,Australia,Quarterly,2023-Q3,777349
Males,0-4,Australia,Quarterly,2023-Q4,776408
Females,0-4,Australia,Quarterly,2014-Q1,748224
